id,date,average_price,total_volume,total_bags,type,year,region
40,2015-03-29,1.02,67799.08,7684.08,conventional,2015,Albany
41,2015-03-22,1.12,46346.85,9749.66,conventional,2015,Albany
42,2015-03-15,1.11,43045.79,10370.69,conventional,2015,Albany
43,2015-03-08,1.07,40507.36,9181.99,conventional,2015,Albany
44,2015-03-01,0.99,55595.74,9151.45,conventional,2015,Albany
45,2015-02-22,1.07,45675.05,9379.54,conventional,2015,Albany
46,2015-02-15,1.06,41567.62,10313.03,conventional,2015,Albany
47,2015-02-08,0.99,51253.97,10621.54,conventional,2015,Albany
48,2015-02-01,0.99,70873.6,9323.18,conventional,2015,Albany
49,2015-01-25,1.06,45147.5,10845.82,conventional,2015,Albany
50,2015-01-18,1.17,44511.28,11921.05,conventional,2015,Albany
51,2015-01-11,1.24,41195.08,8424.77,conventional,2015,Albany
52,2015-01-04,1.22,40873.28,9716.46,conventional,2015,Albany
53,2015-12-27,0.99,386100.5,66354.31,conventional,2015,Atlanta
54,2015-12-20,1.08,331377.53,58797.87,conventional,2015,Atlanta
55,2015-12-13,0.96,417772.47,61545.31,conventional,2015,Atlanta
56,2015-12-06,1.07,357636.8,50690.04,conventional,2015,Atlanta
57,2015-11-29,0.99,333280.78,53794.68,conventional,2015,Atlanta
58,2015-11-22,1.0,356414.56,56382.08,conventional,2015,Atlanta
59,2015-11-15,1.13,339860.7,47046.48,conventional,2015,Atlanta
60,2015-11-08,1.12,334041.6,48628.65,conventional,2015,Atlanta
61,2015-11-01,0.99,419088.75,65398.38,conventional,2015,Atlanta
62,2015-10-25,1.09,358478.1,56751.46,conventional,2015,Atlanta
63,2015-10-18,1.09,349072.47,60339.19,conventional,2015,Atlanta
64,2015-10-11,0.95,433874.47,86294.11,conventional,2015,Atlanta
65,2015-10-04,0.96,418682.25,59460.41,conventional,2015,Atlanta
66,2015-09-27,1.07,370321.16,45662.3,conventional,2015,Atlanta
67,2015-09-20,0.93,516432.6,86201.96,conventional,2015,Atlanta
68,2015-09-13,1.07,417232.2,75983.02,conventional,2015,Atlanta
69,2015-09-06,0.97,472136.53,94436.19,conventional,2015,Atlanta
70,2015-08-30,1.15,382972.72,61281.24,conventional,2015,Atlanta
71,2015-08-23,1.12,379054.28,57418.09,conventional,2015,Atlanta
72,2015-08-16,1.09,465213.8,59216.9,conventional,2015,Atlanta
73,2015-08-09,1.01,503791.72,67472.2,conventional,2015,Atlanta
74,2015-08-02,1.15,405898.44,53888.32,conventional,2015,Atlanta
75,2015-07-26,1.08,437377.75,57210.66,conventional,2015,Atlanta
76,2015-07-19,0.97,557213.0,61292.37,conventional,2015,Atlanta
77,2015-07-12,1.14,407204.88,58303.85,conventional,2015,Atlanta
78,2015-07-05,1.01,562462.3,70560.49,conventional,2015,Atlanta
79,2015-06-28,1.13,435210.72,65342.19,conventional,2015,Atlanta
80,2015-06-21,0.99,554763.75,74542.11,conventional,2015,Atlanta
81,2015-06-14,1.1,465804.78,61261.44,conventional,2015,Atlanta
82,2015-06-07,0.99,551009.06,72290.28,conventional,2015,Atlanta
83,2015-05-31,1.1,454702.0,51735.02,conventional,2015,Atlanta
84,2015-05-24,0.96,623212.06,56539.87,conventional,2015,Atlanta
85,2015-05-17,1.11,451250.7,45392.29,conventional,2015,Atlanta
86,2015-05-10,1.1,480071.2,46668.26,conventional,2015,Atlanta
87,2015-05-03,1.0,634213.1,66181.63,conventional,2015,Atlanta
88,2015-04-26,1.12,448596.75,41511.84,conventional,2015,Atlanta
89,2015-04-19,1.12,430966.34,43342.6,conventional,2015,Atlanta
90,2015-04-12,0.99,451101.88,50884.32,conventional,2015,Atlanta
91,2015-04-05,1.04,383139.5,45037.12,conventional,2015,Atlanta
92,2015-03-29,1.11,365722.12,43780.25,conventional,2015,Atlanta
93,2015-03-22,1.0,479590.62,62275.1,conventional,2015,Atlanta
94,2015-03-15,1.12,399566.22,46575.23,conventional,2015,Atlanta
95,2015-03-08,1.1,420826.3,43241.42,conventional,2015,Atlanta
96,2015-03-01,0.99,512532.44,49456.96,conventional,2015,Atlanta
97,2015-02-22,1.1,431308.56,43430.04,conventional,2015,Atlanta
98,2015-02-15,1.06,427391.28,44885.92,conventional,2015,Atlanta
99,2015-02-08,1.03,433883.9,38940.18,conventional,2015,Atlanta
100,2015-02-01,0.96,636771.4,51694.49,conventional,2015,Atlanta
101,2015-01-25,1.1,449332.84,36612.16,conventional,2015,Atlanta
102,2015-01-18,1.11,431491.0,40040.48,conventional,2015,Atlanta
103,2015-01-11,1.11,397542.72,47038.08,conventional,2015,Atlanta
104,2015-01-04,1.0,435021.5,46815.79,conventional,2015,Atlanta
105,2015-12-27,1.17,596819.4,144911.1,conventional,2015,BaltimoreWashington
106,2015-12-20,1.11,642682.4,144238.06,conventional,2015,BaltimoreWashington
107,2015-12-13,1.15,619509.3,150966.28,conventional,2015,BaltimoreWashington
108,2015-12-06,1.04,649141.25,118664.97,conventional,2015,BaltimoreWashington
109,2015-11-29,1.16,545800.06,105468.28,conventional,2015,BaltimoreWashington
110,2015-11-22,1.12,572019.8,121670.73,conventional,2015,BaltimoreWashington
111,2015-11-15,1.04,718330.5,129760.36,conventional,2015,BaltimoreWashington
112,2015-11-08,1.05,830967.25,144840.2,conventional,2015,BaltimoreWashington
113,2015-11-01,1.12,742220.7,157925.7,conventional,2015,BaltimoreWashington
114,2015-10-25,1.19,656892.0,156128.69,conventional,2015,BaltimoreWashington
115,2015-10-18,0.99,1005603.75,151925.64,conventional,2015,BaltimoreWashington
116,2015-10-11,1.24,653560.1,168354.42,conventional,2015,BaltimoreWashington
117,2015-10-04,1.28,657444.06,172234.02,conventional,2015,BaltimoreWashington
118,2015-09-27,1.19,696281.8,151893.12,conventional,2015,BaltimoreWashington
119,2015-09-20,1.17,709268.6,174029.62,conventional,2015,BaltimoreWashington
120,2015-09-13,1.09,924993.6,151499.56,conventional,2015,BaltimoreWashington
121,2015-09-06,1.18,823623.4,168970.84,conventional,2015,BaltimoreWashington
122,2015-08-30,1.24,734721.3,185304.23,conventional,2015,BaltimoreWashington
123,2015-08-23,1.16,783935.4,178376.77,conventional,2015,BaltimoreWashington
124,2015-08-16,1.14,882754.75,155975.34,conventional,2015,BaltimoreWashington
125,2015-08-09,1.16,821523.44,164862.89,conventional,2015,BaltimoreWashington
126,2015-08-02,1.17,800603.25,166728.92,conventional,2015,BaltimoreWashington
127,2015-07-26,1.2,772926.1,178660.25,conventional,2015,BaltimoreWashington
128,2015-07-19,1.18,800194.3,200713.1,conventional,2015,BaltimoreWashington
129,2015-07-12,1.1,850931.56,193887.17,conventional,2015,BaltimoreWashington
130,2015-07-05,1.16,896298.75,206108.89,conventional,2015,BaltimoreWashington
131,2015-06-28,1.15,862261.6,211564.62,conventional,2015,BaltimoreWashington
132,2015-06-21,1.16,862840.75,224622.73,conventional,2015,BaltimoreWashington
133,2015-06-14,1.09,955046.8,249197.19,conventional,2015,BaltimoreWashington
134,2015-06-07,1.26,794310.3,225052.84,conventional,2015,BaltimoreWashington
135,2015-05-31,1.19,949177.06,217785.55,conventional,2015,BaltimoreWashington
136,2015-05-24,1.18,908661.8,234503.17,conventional,2015,BaltimoreWashington
137,2015-05-17,1.27,790853.9,227331.17,conventional,2015,BaltimoreWashington
138,2015-05-10,1.26,855205.8,224519.06,conventional,2015,BaltimoreWashington
139,2015-05-03,1.17,896972.06,209686.17,conventional,2015,BaltimoreWashington
140,2015-04-26,1.29,747841.06,218351.8,conventional,2015,BaltimoreWashington
141,2015-04-19,1.28,762862.6,225627.3,conventional,2015,BaltimoreWashington
142,2015-04-12,1.15,837629.6,201392.02,conventional,2015,BaltimoreWashington
143,2015-04-05,1.29,688065.44,191339.73,conventional,2015,BaltimoreWashington
144,2015-03-29,1.25,663677.3,163768.62,conventional,2015,BaltimoreWashington
145,2015-03-22,1.1,808897.2,176385.62,conventional,2015,BaltimoreWashington
146,2015-03-15,1.24,693698.1,197864.77,conventional,2015,BaltimoreWashington
147,2015-03-08,1.26,657745.9,192522.27,conventional,2015,BaltimoreWashington
148,2015-03-01,1.16,770115.25,171961.06,conventional,2015,BaltimoreWashington
149,2015-02-22,1.11,749845.8,190762.55,conventional,2015,BaltimoreWashington
150,2015-02-15,1.25,637319.3,179990.19,conventional,2015,BaltimoreWashington
151,2015-02-08,1.09,844931.2,180932.95,conventional,2015,BaltimoreWashington
152,2015-02-01,1.06,1007418.75,164589.36,conventional,2015,BaltimoreWashington
153,2015-01-25,1.2,692934.44,217350.64,conventional,2015,BaltimoreWashington
154,2015-01-18,1.23,657741.3,173858.5,conventional,2015,BaltimoreWashington
155,2015-01-11,1.17,670231.94,155406.52,conventional,2015,BaltimoreWashington
156,2015-01-04,1.08,788025.06,141136.69,conventional,2015,BaltimoreWashington
157,2015-12-27,0.97,62909.69,23561.1,conventional,2015,Boise
158,2015-12-20,1.03,57504.05,21935.9,conventional,2015,Boise
159,2015-12-13,0.99,58461.05,21868.27,conventional,2015,Boise
160,2015-12-06,0.71,95295.34,43091.6,conventional,2015,Boise
161,2015-11-29,1.06,49069.13,16057.99,conventional,2015,Boise
162,2015-11-22,1.09,52875.58,17547.95,conventional,2015,Boise
163,2015-11-15,1.01,68648.22,25635.41,conventional,2015,Boise
164,2015-11-08,1.11,55847.79,12999.91,conventional,2015,Boise
165,2015-11-01,1.14,53585.51,12362.73,conventional,2015,Boise
166,2015-10-25,1.11,59874.45,13711.48,conventional,2015,Boise
167,2015-10-18,1.16,54191.14,8921.26,conventional,2015,Boise
168,2015-10-11,0.94,80904.19,13769.64,conventional,2015,Boise
169,2015-10-04,1.12,59496.33,5968.42,conventional,2015,Boise
170,2015-09-27,0.99,64187.8,7763.11,conventional,2015,Boise
171,2015-09-20,1.03,73952.9,10893.8,conventional,2015,Boise
172,2015-09-13,1.08,64208.84,7482.65,conventional,2015,Boise
173,2015-09-06,1.16,64464.61,6936.04,conventional,2015,Boise
174,2015-08-30,1.19,60099.83,5440.56,conventional,2015,Boise
175,2015-08-23,1.05,70773.76,7420.09,conventional,2015,Boise
176,2015-08-16,1.12,64001.61,6096.91,conventional,2015,Boise
177,2015-08-09,1.1,61286.98,7582.25,conventional,2015,Boise
178,2015-08-02,1.07,67763.91,6036.39,conventional,2015,Boise
179,2015-07-26,1.07,67826.07,6511.85,conventional,2015,Boise
180,2015-07-19,1.09,63958.04,7170.97,conventional,2015,Boise
181,2015-07-12,1.05,74677.72,9571.92,conventional,2015,Boise
182,2015-07-05,1.15,85044.45,6637.61,conventional,2015,Boise
183,2015-06-28,1.04,75280.41,5621.07,conventional,2015,Boise
184,2015-06-21,1.06,81397.07,7286.27,conventional,2015,Boise
185,2015-06-14,0.99,87607.71,7800.04,conventional,2015,Boise
186,2015-06-07,1.12,80751.29,5612.56,conventional,2015,Boise
187,2015-05-31,0.97,76689.38,7866.15,conventional,2015,Boise
188,2015-05-24,1.03,83209.77,7507.26,conventional,2015,Boise
189,2015-05-17,0.96,77987.53,6354.01,conventional,2015,Boise
190,2015-05-10,1.06,95788.53,9495.53,conventional,2015,Boise
191,2015-05-03,1.0,85466.99,6354.81,conventional,2015,Boise
192,2015-04-26,0.96,88111.17,7179.45,conventional,2015,Boise
193,2015-04-19,0.99,89694.96,7960.22,conventional,2015,Boise
194,2015-04-12,1.19,66246.3,5747.78,conventional,2015,Boise
195,2015-04-05,1.09,76704.46,6513.78,conventional,2015,Boise
196,2015-03-29,0.98,74543.98,4789.54,conventional,2015,Boise
197,2015-03-22,1.17,61419.11,3311.77,conventional,2015,Boise
198,2015-03-15,1.0,65918.28,4445.9,conventional,2015,Boise
199,2015-03-08,1.14,65350.24,4860.43,conventional,2015,Boise
200,2015-03-01,1.06,75046.37,7237.98,conventional,2015,Boise
201,2015-02-22,0.99,76836.1,7467.27,conventional,2015,Boise
202,2015-02-15,1.14,61221.98,5340.86,conventional,2015,Boise
203,2015-02-08,1.07,69970.75,3047.17,conventional,2015,Boise
204,2015-02-01,0.91,113578.24,6644.84,conventional,2015,Boise
205,2015-01-25,1.03,66069.21,4530.04,conventional,2015,Boise
206,2015-01-18,1.08,62870.49,3915.94,conventional,2015,Boise
207,2015-01-11,1.18,57355.52,4923.75,conventional,2015,Boise
208,2015-01-04,1.01,80034.32,7755.62,conventional,2015,Boise
209,2015-12-27,1.13,450816.38,86012.86,conventional,2015,Boston
210,2015-12-20,1.07,489802.88,88901.8,conventional,2015,Boston
211,2015-12-13,1.01,549945.75,89722.96,conventional,2015,Boston
212,2015-12-06,1.02,488679.3,75889.78,conventional,2015,Boston
213,2015-11-29,1.19,350559.8,74125.62,conventional,2015,Boston
214,2015-11-22,1.07,466760.0,78648.17,conventional,2015,Boston
215,2015-11-15,1.05,513738.97,87352.15,conventional,2015,Boston
216,2015-11-08,1.04,641759.56,93342.82,conventional,2015,Boston
217,2015-11-01,1.06,553096.8,98507.92,conventional,2015,Boston
218,2015-10-25,1.02,534249.5,99326.99,conventional,2015,Boston
219,2015-10-18,0.94,725296.3,91049.58,conventional,2015,Boston
220,2015-10-11,1.14,485706.7,101909.89,conventional,2015,Boston
221,2015-10-04,1.07,536479.44,103038.91,conventional,2015,Boston
222,2015-09-27,1.07,553307.06,84726.9,conventional,2015,Boston
223,2015-09-20,1.15,498640.22,95171.55,conventional,2015,Boston
224,2015-09-13,1.03,655682.94,89114.66,conventional,2015,Boston
225,2015-09-06,1.11,577774.75,95172.85,conventional,2015,Boston
226,2015-08-30,1.13,526664.9,83430.9,conventional,2015,Boston
227,2015-08-23,1.07,589471.3,95826.5,conventional,2015,Boston
228,2015-08-16,1.15,565795.06,96109.23,conventional,2015,Boston
229,2015-08-09,1.07,690517.2,94518.79,conventional,2015,Boston
230,2015-08-02,1.17,571994.5,97508.59,conventional,2015,Boston
231,2015-07-26,1.28,500233.7,100694.94,conventional,2015,Boston
232,2015-07-19,1.18,597168.1,109746.47,conventional,2015,Boston
233,2015-07-12,1.14,634515.75,148182.6,conventional,2015,Boston
234,2015-07-05,1.27,582909.75,148861.42,conventional,2015,Boston
235,2015-06-28,1.25,560494.94,143455.73,conventional,2015,Boston
236,2015-06-21,1.24,543504.7,126114.48,conventional,2015,Boston
237,2015-06-14,1.08,684346.5,151442.1,conventional,2015,Boston
238,2015-06-07,1.25,562542.9,137408.28,conventional,2015,Boston
239,2015-05-31,1.26,565160.94,142818.64,conventional,2015,Boston
240,2015-05-24,1.14,633522.0,138157.73,conventional,2015,Boston
241,2015-05-17,1.26,534488.56,149526.12,conventional,2015,Boston
242,2015-05-10,1.14,625558.1,143997.66,conventional,2015,Boston
243,2015-05-03,1.17,552368.94,118714.26,conventional,2015,Boston
244,2015-04-26,1.28,465911.38,109400.12,conventional,2015,Boston
245,2015-04-19,1.15,504619.84,115562.72,conventional,2015,Boston
246,2015-04-12,1.26,408485.16,110638.95,conventional,2015,Boston
247,2015-04-05,1.27,449818.0,115635.81,conventional,2015,Boston
248,2015-03-29,1.19,453631.25,110561.28,conventional,2015,Boston
249,2015-03-22,1.18,453173.22,102664.18,conventional,2015,Boston
250,2015-03-15,1.25,417750.38,102556.32,conventional,2015,Boston
251,2015-03-08,1.17,408403.97,114386.82,conventional,2015,Boston
252,2015-03-01,1.11,485736.1,97862.93,conventional,2015,Boston
253,2015-02-22,1.23,355432.28,100715.97,conventional,2015,Boston
254,2015-02-15,1.2,399884.0,114839.16,conventional,2015,Boston
255,2015-02-08,1.04,609985.3,106216.72,conventional,2015,Boston
256,2015-02-01,1.22,490022.12,110214.39,conventional,2015,Boston
257,2015-01-25,1.17,409343.56,116472.16,conventional,2015,Boston
258,2015-01-18,1.23,401331.34,109036.52,conventional,2015,Boston
259,2015-01-11,1.1,437771.88,111524.61,conventional,2015,Boston
260,2015-01-04,1.02,491738.0,87663.13,conventional,2015,Boston
261,2015-12-27,1.35,96233.08,55236.68,conventional,2015,BuffaloRochester
262,2015-12-20,1.37,90867.51,51165.21,conventional,2015,BuffaloRochester
263,2015-12-13,1.35,98473.23,56202.44,conventional,2015,BuffaloRochester
264,2015-12-06,1.23,108457.82,48355.65,conventional,2015,BuffaloRochester
265,2015-11-29,1.39,79973.14,42662.25,conventional,2015,BuffaloRochester
266,2015-11-22,1.4,90242.31,49642.35,conventional,2015,BuffaloRochester
267,2015-11-15,1.36,99703.72,56335.34,conventional,2015,BuffaloRochester
268,2015-11-08,1.3,111038.95,60187.87,conventional,2015,BuffaloRochester
269,2015-11-01,1.23,118541.11,54298.62,conventional,2015,BuffaloRochester
270,2015-10-25,1.36,99554.55,61283.43,conventional,2015,BuffaloRochester
271,2015-10-18,1.29,106083.75,63787.47,conventional,2015,BuffaloRochester
272,2015-10-11,1.3,109153.84,56025.17,conventional,2015,BuffaloRochester
273,2015-10-04,1.33,98900.48,57425.67,conventional,2015,BuffaloRochester
274,2015-09-27,1.31,90745.72,28438.3,conventional,2015,BuffaloRochester
275,2015-09-20,1.54,60624.47,19258.95,conventional,2015,BuffaloRochester
276,2015-09-13,1.59,73043.2,22867.43,conventional,2015,BuffaloRochester
277,2015-09-06,1.56,76139.58,25106.09,conventional,2015,BuffaloRochester
278,2015-08-30,1.38,83731.42,20483.02,conventional,2015,BuffaloRochester
279,2015-08-23,1.49,68953.29,23840.42,conventional,2015,BuffaloRochester
280,2015-08-16,1.5,69798.09,22371.73,conventional,2015,BuffaloRochester
281,2015-08-09,1.47,81830.13,24051.92,conventional,2015,BuffaloRochester
282,2015-08-02,1.47,78162.92,31622.86,conventional,2015,BuffaloRochester
283,2015-07-26,1.39,91825.07,43788.54,conventional,2015,BuffaloRochester
284,2015-07-19,1.36,128846.15,70982.41,conventional,2015,BuffaloRochester
285,2015-07-12,1.45,127351.46,74222.68,conventional,2015,BuffaloRochester
286,2015-07-05,1.47,140413.9,75277.49,conventional,2015,BuffaloRochester
287,2015-06-28,1.36,137246.7,78811.96,conventional,2015,BuffaloRochester
288,2015-06-21,1.5,108655.36,54130.44,conventional,2015,BuffaloRochester
289,2015-06-14,1.34,149376.8,95473.84,conventional,2015,BuffaloRochester
290,2015-06-07,1.38,130908.11,71990.67,conventional,2015,BuffaloRochester
291,2015-05-31,1.4,130841.08,75473.15,conventional,2015,BuffaloRochester
292,2015-05-24,1.43,121942.61,65785.96,conventional,2015,BuffaloRochester
293,2015-05-17,1.35,137050.23,74392.69,conventional,2015,BuffaloRochester
294,2015-05-10,1.33,170547.19,95285.89,conventional,2015,BuffaloRochester
295,2015-05-03,1.42,136771.8,85477.33,conventional,2015,BuffaloRochester
296,2015-04-26,1.41,136964.3,86183.43,conventional,2015,BuffaloRochester
297,2015-04-19,1.42,139612.52,85576.8,conventional,2015,BuffaloRochester
298,2015-04-12,1.42,118172.53,71752.15,conventional,2015,BuffaloRochester
299,2015-04-05,1.44,124145.62,72056.8,conventional,2015,BuffaloRochester
300,2015-03-29,1.39,119890.65,70027.47,conventional,2015,BuffaloRochester
301,2015-03-22,1.4,119902.96,71344.15,conventional,2015,BuffaloRochester
302,2015-03-15,1.47,103413.11,54157.6,conventional,2015,BuffaloRochester
303,2015-03-08,1.35,125724.96,62576.63,conventional,2015,BuffaloRochester
304,2015-03-01,1.43,112363.86,69541.74,conventional,2015,BuffaloRochester
305,2015-02-22,1.41,109546.92,62312.01,conventional,2015,BuffaloRochester
306,2015-02-15,1.44,100207.14,55357.07,conventional,2015,BuffaloRochester
307,2015-02-08,1.36,132760.1,64513.81,conventional,2015,BuffaloRochester
308,2015-02-01,1.33,153920.34,86919.58,conventional,2015,BuffaloRochester
309,2015-01-25,1.5,114052.94,58649.74,conventional,2015,BuffaloRochester
310,2015-01-18,1.52,107040.29,43421.89,conventional,2015,BuffaloRochester
311,2015-01-11,1.54,106221.32,53514.26,conventional,2015,BuffaloRochester
312,2015-01-04,1.4,116253.44,57182.88,conventional,2015,BuffaloRochester
313,2015-12-27,0.9,5040365.5,1212707.0,conventional,2015,California
314,2015-12-20,0.94,4695737.0,1209165.2,conventional,2015,California
315,2015-12-13,0.87,5259354.5,1592438.4,conventional,2015,California
316,2015-12-06,0.78,5775536.5,1510267.4,conventional,2015,California
317,2015-11-29,0.91,4575710.5,1081497.5,conventional,2015,California
318,2015-11-22,0.92,4804278.0,1069305.9,conventional,2015,California
319,2015-11-15,0.83,5755190.5,1152919.0,conventional,2015,California
320,2015-11-08,0.98,5148983.5,855636.56,conventional,2015,California
321,2015-11-01,0.95,5830428.0,651915.94,conventional,2015,California
322,2015-10-25,1.12,4592462.0,618031.75,conventional,2015,California
323,2015-10-18,1.07,4999032.0,646990.5,conventional,2015,California
324,2015-10-11,1.08,5063309.5,555041.9,conventional,2015,California
325,2015-10-04,1.02,4943781.5,472090.38,conventional,2015,California
326,2015-09-27,1.04,5216784.5,515245.78,conventional,2015,California
327,2015-09-20,1.14,4759791.0,552209.75,conventional,2015,California
328,2015-09-13,1.13,5106508.0,584419.6,conventional,2015,California
329,2015-09-06,1.09,5806393.0,629688.25,conventional,2015,California
330,2015-08-30,1.08,5647385.0,649475.6,conventional,2015,California
331,2015-08-23,1.18,5193221.0,545248.8,conventional,2015,California
332,2015-08-16,1.11,5616434.0,577651.8,conventional,2015,California
333,2015-08-09,1.1,6232081.5,580769.0,conventional,2015,California
334,2015-08-02,1.16,5428239.0,566776.06,conventional,2015,California
335,2015-07-26,1.13,5557616.5,598607.56,conventional,2015,California
336,2015-07-19,1.18,5225200.5,601233.56,conventional,2015,California
337,2015-07-12,1.13,5451637.0,622965.75,conventional,2015,California
338,2015-07-05,1.12,6718012.0,762371.44,conventional,2015,California
339,2015-06-28,1.1,5641742.0,654819.0,conventional,2015,California
340,2015-06-21,1.07,5952597.5,662032.3,conventional,2015,California
341,2015-06-14,0.97,6741662.5,683201.2,conventional,2015,California
342,2015-06-07,0.98,6374843.0,678868.7,conventional,2015,California
343,2015-05-31,0.98,6236903.5,580523.0,conventional,2015,California
344,2015-05-24,1.1,5621713.5,574119.94,conventional,2015,California
345,2015-05-17,1.08,5289138.5,547243.56,conventional,2015,California
346,2015-05-10,0.93,6650358.0,634790.9,conventional,2015,California
347,2015-05-03,0.88,8567534.0,631798.44,conventional,2015,California
348,2015-04-26,1.15,4923565.0,576599.56,conventional,2015,California
349,2015-04-19,1.05,5871081.0,598285.6,conventional,2015,California
350,2015-04-12,1.06,5636644.5,614443.5,conventional,2015,California
351,2015-04-05,1.12,5467155.5,601124.94,conventional,2015,California
352,2015-03-29,1.1,5341821.5,669440.2,conventional,2015,California
353,2015-03-22,1.06,5571813.0,713009.1,conventional,2015,California
354,2015-03-15,1.06,5557163.0,662527.25,conventional,2015,California
355,2015-03-08,0.96,5990244.0,671312.7,conventional,2015,California
356,2015-03-01,0.84,6700134.0,552070.0,conventional,2015,California
357,2015-02-22,0.96,5951871.5,635318.75,conventional,2015,California
358,2015-02-15,0.96,5699945.0,594411.7,conventional,2015,California
359,2015-02-08,0.91,5871224.5,612526.4,conventional,2015,California
360,2015-02-01,0.85,9032181.0,600149.25,conventional,2015,California
361,2015-01-25,1.06,4929884.5,570609.9,conventional,2015,California
362,2015-01-18,1.02,5570915.5,559990.94,conventional,2015,California
363,2015-01-11,0.92,6024932.5,546047.5,conventional,2015,California
364,2015-01-04,0.93,5777335.0,528451.75,conventional,2015,California
365,2015-12-27,0.96,156698.23,37630.04,conventional,2015,Charlotte
366,2015-12-20,0.98,139917.89,35054.76,conventional,2015,Charlotte
367,2015-12-13,0.95,157146.19,39031.59,conventional,2015,Charlotte
368,2015-12-06,0.99,156114.08,30439.26,conventional,2015,Charlotte
369,2015-11-29,0.95,138858.86,30791.41,conventional,2015,Charlotte
370,2015-11-22,1.0,133618.33,25723.09,conventional,2015,Charlotte
371,2015-11-15,1.01,169281.16,23632.22,conventional,2015,Charlotte
372,2015-11-08,1.03,164322.05,29723.04,conventional,2015,Charlotte
373,2015-11-01,1.11,171793.88,37373.73,conventional,2015,Charlotte
374,2015-10-25,1.27,140920.61,34587.41,conventional,2015,Charlotte
375,2015-10-18,1.26,156565.98,34534.79,conventional,2015,Charlotte
376,2015-10-11,1.14,167396.56,39795.83,conventional,2015,Charlotte
377,2015-10-04,1.22,146737.73,38050.77,conventional,2015,Charlotte
378,2015-09-27,1.09,168780.22,31620.63,conventional,2015,Charlotte
379,2015-09-20,1.2,161443.98,47353.43,conventional,2015,Charlotte
380,2015-09-13,1.19,171077.53,62868.31,conventional,2015,Charlotte
381,2015-09-06,1.01,227728.44,66041.86,conventional,2015,Charlotte
382,2015-08-30,1.2,179026.88,65683.65,conventional,2015,Charlotte
383,2015-08-23,1.15,203298.38,78864.57,conventional,2015,Charlotte
384,2015-08-16,1.24,178525.52,62985.56,conventional,2015,Charlotte
385,2015-08-09,1.21,173059.31,61746.27,conventional,2015,Charlotte
386,2015-08-02,1.24,179321.9,60699.91,conventional,2015,Charlotte
387,2015-07-26,1.23,173896.81,64127.07,conventional,2015,Charlotte
388,2015-07-19,1.19,187575.03,65605.47,conventional,2015,Charlotte
389,2015-07-12,1.18,182856.81,67851.56,conventional,2015,Charlotte
390,2015-07-05,1.18,216118.9,71243.15,conventional,2015,Charlotte
